Lon,Lat
-119.9773,22.84721
-120.0057,22.94839
-120.03416,23.04962
-120.06271,23.15088
-120.09131,23.25218
-120.11998,23.35351
-120.14873,23.45489
-120.17754,23.5563
-120.20642,23.65775
-120.23537,23.75923
-120.2644,23.86075
-120.2935,23.96231
-120.32267,24.0639
-120.35191,24.16553
-120.38122,24.26719
-120.4106,24.36889
-120.44006,24.47062
-120.46958,24.57239
-120.49918,24.67419
-120.52885,24.77603
-120.5586,24.87789
-120.58842,24.97979
-120.61832,25.08173
-120.64829,25.18369
-120.67833,25.28569
-120.70845,25.38772
-120.73864,25.48978
-120.76891,25.59188
-120.79926,25.694
-120.82967,25.79615
-120.86017,25.89834
-120.89074,26.00055
-120.92139,26.10279
-120.95212,26.20507
-120.98292,26.30737
-121.01379,26.4097
-121.04475,26.51206
-121.07579,26.61445
-121.1069,26.71687
-121.1381,26.81931
-121.16937,26.92178
-121.20072,27.02428
-121.23215,27.1268
-121.26366,27.22935
-121.29525,27.33193
-121.32692,27.43453
-121.35867,27.53716
-121.3905,27.63981
-121.42242,27.74249
-121.45441,27.84519
-121.48649,27.94792
-121.51865,28.05067
-121.55089,28.15344
-121.58321,28.25624
-121.61562,28.35905
-121.64812,28.46189
-121.68069,28.56476
-121.71335,28.66764
-121.74609,28.77055
-121.77892,28.87348
-121.81184,28.97642
-121.84483,29.07939
-121.87791,29.18238
-121.91109,29.28539
-121.94434,29.38842
-121.97768,29.49146
-122.01112,29.59453
-122.04463,29.69761
-122.07824,29.80071
-122.11193,29.90384
-122.14571,30.00697
-122.17959,30.11013
-122.21355,30.2133
-122.2476,30.31648
-122.28173,30.41969
-122.31596,30.52291
-122.35028,30.62614
-122.38469,30.72939
-122.41919,30.83265
-122.45378,30.93593
-122.48846,31.03922
-122.52324,31.14253
-122.55811,31.24585
-122.59307,31.34918
-122.62813,31.45253
-122.66327,31.55588
-122.69852,31.65925
-122.73385,31.76263
-122.76928,31.86602
-122.80481,31.96943
-122.84043,32.07284
-122.87614,32.17626
-122.91196,32.27969
-122.94787,32.38313
-122.98388,32.48658
-123.01998,32.59004
-123.05618,32.69351
-123.09248,32.79699
-123.12888,32.90047
-123.16538,33.00396
-123.20198,33.10745
-123.23867,33.21096
-123.27547,33.31446
-123.31237,33.41798
-123.34937,33.5215
-123.38647,33.62503
-123.42367,33.72855
-123.46097,33.83209
-123.49837,33.93563
-123.53588,34.03917
-123.57349,34.14271
-123.61121,34.24626
-123.64902,34.34981
-123.68695,34.45336
-123.72498,34.55691
-123.76311,34.66047
-123.80135,34.76402
-123.8397,34.86758
-123.87815,34.97113
-123.91671,35.07469
-123.95538,35.17824
-123.99416,35.2818
-124.03304,35.38535
-124.07203,35.4889
-124.11113,35.59245
-124.15034,35.69599
-124.18967,35.79954
-124.2291,35.90308
-124.26864,36.00661
-124.3083,36.11014
-124.34806,36.21367
-124.38794,36.31719
-124.42793,36.42071
-124.46804,36.52422
-124.50826,36.62772
-124.54859,36.73122
-124.58904,36.83472
-124.62961,36.9382
-124.67029,37.04168
-124.71108,37.14515
-124.752,37.24861
-124.79302,37.35206
-124.83418,37.4555
-124.87543,37.55894
-124.91682,37.66236
-124.95833,37.76577
-124.99995,37.86917
-125.04169,37.97256
-125.08356,38.07594
-125.12554,38.17931
-125.16765,38.28267
-125.20988,38.38601
-125.25223,38.48934
-125.29471,38.59266
-125.3373,38.69595
-125.38003,38.79924
-125.42287,38.90252
-125.46584,39.00577
-125.50895,39.10901
-125.55217,39.21224
-125.59552,39.31545
-125.639,39.41864
-125.68261,39.52182
-125.72635,39.62497
-125.77021,39.72812
-125.81421,39.83123
-125.85833,39.93434
-125.90259,40.03742
-125.94698,40.14048
-125.99149,40.24353
-126.03615,40.34655
-126.08093,40.44955
-126.12585,40.55253
-126.1709,40.65549
-126.21609,40.75843
-126.26141,40.86134
-126.30687,40.96423
-126.35246,41.0671
-126.39819,41.16995
-126.44406,41.27277
-126.49007,41.37556
-126.53622,41.47833
-126.5825,41.58108
-126.62893,41.6838
-126.6755,41.78649
-126.72221,41.88916
-126.76906,41.99179
-126.81605,42.09441
-126.86319,42.19699
-126.91047,42.29955
-126.95789,42.40207
-127.00546,42.50457
-127.05318,42.60704
-127.10104,42.70948
-127.14905,42.81188
-127.1972,42.91426
-127.24551,43.0166
-127.29396,43.11892
-127.34257,43.2212
-127.39132,43.32344
-127.44022,43.42566
-127.48928,43.52784
-127.53849,43.62999
-127.58785,43.7321
-127.63737,43.83418
-127.68703,43.93623
-127.73686,44.03823
-127.78684,44.14021
-127.83698,44.24214
-127.88728,44.34404
-127.93773,44.4459
-127.98834,44.54773
-128.03911,44.64951
-128.09004,44.75126
-128.14113,44.85296
-128.19238,44.95463
-128.2438,45.05626
-128.29538,45.15785
-128.34712,45.2594
-128.39903,45.3609
-128.4511,45.46236
-128.50334,45.56379
-128.55574,45.66517
-128.60832,45.76651
-128.66106,45.8678
-128.71397,45.96905
-128.76704,46.07025
-128.8203,46.17141
-128.87372,46.27253
-128.92731,46.3736
-128.98108,46.47462
-129.03502,46.5756
-129.08914,46.67653
-129.14343,46.77742
-129.19789,46.87825
-129.25253,46.97904
-129.30736,47.07978
-129.36237,47.18047
-129.41754,47.28111
-129.4729,47.3817
-129.52844,47.48224
-129.58417,47.58273
-129.64008,47.68316
-129.69617,47.78355
-129.75244,47.88388
-129.8089,47.98417
-119.86749,22.87329
-119.89577,22.97452
-119.92411,23.07578
-119.95251,23.17709
-119.981,23.27843
-120.00954,23.37981
-120.03816,23.48123
-120.06686,23.58268
-120.09561,23.68418
-120.12444,23.78571
-120.15334,23.88727
-120.18231,23.98887
-120.21135,24.09051
-120.24046,24.19218
-120.26965,24.29389
-120.2989,24.39563
-120.32823,24.49741
-120.35763,24.59922
-120.3871,24.70106
-120.41664,24.80294
-120.44627,24.90485
-120.47595,25.0068
-120.50572,25.10877
