,Date Local
0,2010-01-01
1,2010-01-02
2,2010-01-03
3,2010-01-04
4,2010-01-05
5,2010-01-06
6,2010-01-07
7,2010-01-08
8,2010-01-09
9,2010-01-10
10,2010-01-11
11,2010-01-12
12,2010-01-13
13,2010-01-14
14,2010-01-15
15,2010-01-16
16,2010-01-17
17,2010-01-18
18,2010-01-19
19,2010-01-20
20,2010-01-21
21,2010-01-22
22,2010-01-23
23,2010-01-24
24,2010-01-25
25,2010-01-26
26,2010-01-27
27,2010-01-28
28,2010-01-29
29,2010-01-30
30,2010-01-31
31,2010-02-01
32,2010-02-02
33,2010-02-03
34,2010-02-04
35,2010-02-05
36,2010-02-06
37,2010-02-07
38,2010-02-08
39,2010-02-09
40,2010-02-10
41,2010-02-11
42,2010-02-12
43,2010-02-13
44,2010-02-14
45,2010-02-15
46,2010-02-16
47,2010-02-17
48,2010-02-18
49,2010-02-19
50,2010-02-20
51,2010-02-21
52,2010-02-22
53,2010-02-23
54,2010-02-24
55,2010-02-25
56,2010-02-26
57,2010-02-27
58,2010-02-28
59,2010-03-01
60,2010-03-02
61,2010-03-03
62,2010-03-04
63,2010-03-05
64,2010-03-06
65,2010-03-07
66,2010-03-08
67,2010-03-09
68,2010-03-10
69,2010-03-11
70,2010-03-12
71,2010-03-13
72,2010-03-14
73,2010-03-15
74,2010-03-16
75,2010-03-17
76,2010-03-18
77,2010-03-19
78,2010-03-20
79,2010-03-21
80,2010-03-22
81,2010-03-23
82,2010-03-24
83,2010-03-25
84,2010-03-26
85,2010-03-27
86,2010-03-28
87,2010-03-29
88,2010-03-30
89,2010-03-31
90,2010-04-01
91,2010-04-02
92,2010-04-03
93,2010-04-04
94,2010-04-05
95,2010-04-06
96,2010-04-07
97,2010-04-08
98,2010-04-09
99,2010-04-10
100,2010-04-11
101,2010-04-12
102,2010-04-13
103,2010-04-14
104,2010-04-15
105,2010-04-16
106,2010-04-17
107,2010-04-18
108,2010-04-19
109,2010-04-20
110,2010-04-21
111,2010-04-22
112,2010-04-23
113,2010-04-24
114,2010-04-25
115,2010-04-26
116,2010-04-27
117,2010-04-28
118,2010-04-29
119,2010-04-30
120,2010-05-01
121,2010-05-02
122,2010-05-03
123,2010-05-04
124,2010-05-05
125,2010-05-06
126,2010-05-07
127,2010-05-08
128,2010-05-09
129,2010-05-10
130,2010-05-11
131,2010-05-12
132,2010-05-13
133,2010-05-14
134,2010-05-15
135,2010-05-16
136,2010-05-17
137,2010-05-18
138,2010-05-19
139,2010-05-20
140,2010-05-21
141,2010-05-22
142,2010-05-23
143,2010-05-24
144,2010-05-25
145,2010-05-26
146,2010-05-27
147,2010-05-28
148,2010-05-29
149,2010-05-30
150,2010-05-31
151,2010-06-01
152,2010-06-02
153,2010-06-03
154,2010-06-04
155,2010-06-05
156,2010-06-06
157,2010-06-07
158,2010-06-08
159,2010-06-09
160,2010-06-10
161,2010-06-11
162,2010-06-12
163,2010-06-13
164,2010-06-14
165,2010-06-15
166,2010-06-16
167,2010-06-17
168,2010-06-18
169,2010-06-19
170,2010-06-20
171,2010-06-21
172,2010-06-22
173,2010-06-23
174,2010-06-24
175,2010-06-25
176,2010-06-26
177,2010-06-27
178,2010-06-28
179,2010-06-29
180,2010-06-30
181,2010-07-01
182,2010-07-02
183,2010-07-03
184,2010-07-04
185,2010-07-05
186,2010-07-06
187,2010-07-07
188,2010-07-08
189,2010-07-09
190,2010-07-10
191,2010-07-11
192,2010-07-12
193,2010-07-13
194,2010-07-14
195,2010-07-15
196,2010-07-16
197,2010-07-17
198,2010-07-18
199,2010-07-19
200,2010-07-20
201,2010-07-21
202,2010-07-22
203,2010-07-23
204,2010-07-24
205,2010-07-25
206,2010-07-26
207,2010-07-27
208,2010-07-28
209,2010-07-29
210,2010-07-30
211,2010-07-31
212,2010-08-01
213,2010-08-02
214,2010-08-03
215,2010-08-04
216,2010-08-05
217,2010-08-06
218,2010-08-07
219,2010-08-08
220,2010-08-09
221,2010-08-10
222,2010-08-11
223,2010-08-12
224,2010-08-13
225,2010-08-14
226,2010-08-15
227,2010-08-16
228,2010-08-17
229,2010-08-18
230,2010-08-19
231,2010-08-20
232,2010-08-21
233,2010-08-22
234,2010-08-23
235,2010-08-24
236,2010-08-25
237,2010-08-26
238,2010-08-27
239,2010-08-28
240,2010-08-29
241,2010-08-30
242,2010-08-31
243,2010-09-01
244,2010-09-02
245,2010-09-03
246,2010-09-04
247,2010-09-05
248,2010-09-06
249,2010-09-07
250,2010-09-08
251,2010-09-09
252,2010-09-10
253,2010-09-11
254,2010-09-12
255,2010-09-13
256,2010-09-14
257,2010-09-15
258,2010-09-16
259,2010-09-17
260,2010-09-18
261,2010-09-19
262,2010-09-20
263,2010-09-21
264,2010-09-22
265,2010-09-23
266,2010-09-24
267,2010-09-25
268,2010-09-26
269,2010-09-27
270,2010-09-28
271,2010-09-29
272,2010-09-30
273,2010-10-01
274,2010-10-02
275,2010-10-03
276,2010-10-04
277,2010-10-05
278,2010-10-06
279,2010-10-07
280,2010-10-08
281,2010-10-09
282,2010-10-10
283,2010-10-11
284,2010-10-12
285,2010-10-13
286,2010-10-14
287,2010-10-15
288,2010-10-16
289,2010-10-17
290,2010-10-18
291,2010-10-19
292,2010-10-20
293,2010-10-21
294,2010-10-22
295,2010-10-23
296,2010-10-24
297,2010-10-25
298,2010-10-26
299,2010-10-27
300,2010-10-28
301,2010-10-29
302,2010-10-30
303,2010-10-31
304,2010-11-01
305,2010-11-02
306,2010-11-03
307,2010-11-04
308,2010-11-05
309,2010-11-06
310,2010-11-07
311,2010-11-08
312,2010-11-09
313,2010-11-10
314,2010-11-11
315,2010-11-12
316,2010-11-13
317,2010-11-14
318,2010-11-15
319,2010-11-16
320,2010-11-17
321,2010-11-18
322,2010-11-19
323,2010-11-20
324,2010-11-21
325,2010-11-22
326,2010-11-23
327,2010-11-24
328,2010-11-25
329,2010-11-26
330,2010-11-27
331,2010-11-28
332,2010-11-29
333,2010-11-30
334,2010-12-01
335,2010-12-02
336,2010-12-03
337,2010-12-04
338,2010-12-05
339,2010-12-06
340,2010-12-07
341,2010-12-08
342,2010-12-09
343,2010-12-10
344,2010-12-11
345,2010-12-12
346,2010-12-13
347,2010-12-14
348,2010-12-15
349,2010-12-16
350,2010-12-17
